nom,age,date,paye,montant,loisir,competences,timestampField,decimalField
Karmen,59,13-03-2007,no,510,"['Football', 'Parachutisme']",Cooking,14-08-2021_09:39:57,887.0
David,56,16-04-2012,no,1032,"['Football', 'Jeux']",Cooking,04-06-2020_09:27:23,292.15
Emilia,30,01-04-2017,no,7558,"['Jeux', 'Randonnée']",Leadership,18-04-2017_00:15:42,248.27
Karmen,98,06-01-2004,yes,4986,"['Parachutisme', 'Randonnée']",Communication,10-04-2019_12:42:18,851.87
John,62,11-12-2013,no,3096,"['Randonnée', 'Jeux']",Leadership,26-08-2020_14:42:10,934.09
Karmen,77,16-03-2005,yes,8038,"['Parachutisme', 'Football']",Leadership,01-11-2017_19:54:45,23.95
John,73,05-05-2002,yes,9135,"['Jeux', 'Football']",Leadership,19-12-2019_05:51:19,803.79
John,61,30-06-2002,no,9136,"['Jeux', 'Football']",Leadership,26-10-2017_14:23:18,821.14
David,36,05-07-2013,no,1989,"['Randonnée', 'Parachutisme']",Communication,01-10-2014_15:00:30,861.93
John,27,19-02-2006,no,1414,"['Football', 'Parachutisme']",Communication,12-12-2016_22:01:45,823.15
David,96,20-04-2012,no,7493,"['Jeux', 'Randonnée']",Leadership,23-02-2015_19:14:02,909.54
John,33,25-06-2014,yes,1926,"['Jeux', 'Football']",Leadership,22-07-2020_18:24:06,449.48
Mehdi,84,06-02-2016,yes,1733,"['Football', 'Randonnée']",Communication,30-10-2016_13:56:34,455.36
Emilia,78,11-01-2006,no,7247,"['Parachutisme', 'Jeux']",Cooking,23-03-2014_05:27:43,314.21
Mehdi,47,13-10-2007,no,2995,"['Randonnée', 'Jeux']",Cooking,15-12-2019_21:08:23,836.66
Emilia,35,15-04-2003,yes,7485,"['Parachutisme', 'Jeux']",Leadership,31-01-2015_16:49:02,928.21
Karmen,89,19-03-2017,no,8413,"['Football', 'Jeux']",Leadership,08-07-2021_20:54:50,851.44
Karmen,86,22-09-2011,yes,2479,"['Parachutisme', 'Randonnée']",Communication,03-04-2015_00:11:08,198.74
Mehdi,21,30-08-2018,yes,2000,"['Randonnée', 'Football']",Cooking,09-07-2021_13:34:51,783.8
Karmen,34,06-01-2011,yes,1065,"['Jeux', 'Parachutisme']",Communication,30-06-2014_13:21:15,766.71
John,65,06-06-2008,yes,8265,"['Parachutisme', 'Jeux']",Cooking,20-10-2017_13:47:18,824.95
Mehdi,64,28-12-2010,no,5995,"['Parachutisme', 'Football']",Leadership,06-01-2021_20:19:30,960.23
John,88,16-08-2004,yes,1694,"['Jeux', 'Parachutisme']",Cooking,13-02-2020_19:27:15,956.66
Mehdi,20,29-04-2017,no,7412,"['Randonnée', 'Jeux']",Leadership,19-09-2016_01:36:28,480.61
Karmen,77,06-11-2003,yes,7548,"['Randonnée', 'Football']",Leadership,26-10-2018_16:34:20,513.72
Mehdi,95,12-08-2007,yes,7240,"['Randonnée', 'Jeux']",Communication,15-06-2013_08:58:40,788.7
David,21,29-08-2008,no,7339,"['Randonnée', 'Parachutisme']",Communication,22-11-2015_11:43:34,972.63
David,64,29-11-2016,no,1758,"['Parachutisme', 'Jeux']",Communication,26-07-2014_04:00:41,651.5
Karmen,88,18-04-2018,yes,98,"['Football', 'Jeux']",Leadership,27-09-2013_23:01:40,380.64
Mehdi,87,08-06-2003,no,1350,"['Football', 'Parachutisme']",Cooking,05-05-2020_07:31:24,521.43
Emilia,80,22-05-2009,yes,6976,"['Parachutisme', 'Jeux']",Cooking,26-09-2015_22:45:25,477.47
Karmen,20,05-09-2016,yes,4076,"['Parachutisme', 'Randonnée']",Cooking,02-08-2015_06:37:24,669.82
Mehdi,91,21-04-2005,no,9978,"['Randonnée', 'Jeux']",Communication,10-05-2020_21:48:25,715.27
Emilia,36,18-05-2010,no,3126,"['Football', 'Parachutisme']",Cooking,29-05-2017_05:29:20,882.57
Emilia,87,24-10-2006,yes,5343,"['Jeux', 'Randonnée']",Leadership,02-08-2018_17:19:43,65.52
David,38,24-12-2015,yes,9667,"['Jeux', 'Parachutisme']",Communication,27-07-2013_17:05:44,764.34
David,33,03-10-2003,no,1123,"['Parachutisme', 'Randonnée']",Cooking,08-01-2020_04:51:42,354.43
Mehdi,90,13-08-2013,yes,2174,"['Jeux', 'Randonnée']",Communication,20-09-2013_21:36:24,607.19
Emilia,85,16-05-2018,no,6146,"['Jeux', 'Randonnée']",Communication,03-01-2022_13:23:06,758.24
Mehdi,57,28-02-2015,yes,2647,"['Football', 'Parachutisme']",Communication,22-01-2020_19:48:35,355.46
Emilia,53,10-12-2020,no,7409,"['Jeux', 'Parachutisme']",Cooking,21-03-2022_01:10:12,194.32
John,47,22-09-2012,no,1473,"['Randonnée', 'Jeux']",Leadership,23-03-2014_14:14:08,137.76
John,36,15-10-2012,no,8096,"['Football', 'Parachutisme']",Communication,31-05-2016_21:33:53,494.75
David,97,26-07-2006,yes,3577,"['Jeux', 'Football']",Communication,08-04-2015_06:01:38,586.44
Karmen,47,11-05-2009,yes,2113,"['Jeux', 'Football']",Leadership,16-11-2014_23:01:55,114.43
Mehdi,90,25-11-2005,yes,7611,"['Parachutisme', 'Football']",Leadership,29-07-2019_12:41:56,443.06
John,28,04-10-2014,yes,1688,"['Jeux', 'Football']",Leadership,23-04-2021_15:06:48,369.75
Emilia,93,12-02-2005,yes,5023,"['Randonnée', 'Football']",Communication,02-04-2017_01:22:44,778.05
Mehdi,96,11-09-2008,no,9443,"['Jeux', 'Randonnée']",Cooking,25-05-2019_00:35:27,165.88
David,81,30-11-2011,no,7767,"['Jeux', 'Randonnée']",Cooking,17-05-2016_14:52:05,306.38
David,24,30-08-2016,no,2684,"['Randonnée', 'Parachutisme']",Communication,07-12-2020_05:10:37,600.51
John,64,10-01-2009,no,9339,"['Randonnée', 'Football']",Cooking,21-03-2017_00:39:52,331.99
David,82,11-12-2004,no,4185,"['Randonnée', 'Football']",Cooking,13-10-2018_06:02:47,34.44
Karmen,79,20-11-2011,yes,8891,"['Jeux', 'Randonnée']",Cooking,20-05-2022_01:34:23,667.13
Karmen,95,24-09-2018,no,2610,"['Randonnée', 'Jeux']",Leadership,28-04-2013_13:45:02,815.04
Mehdi,74,07-03-2007,no,6962,"['Football', 'Jeux']",Cooking,10-04-2021_13:33:02,258.99
Karmen,51,15-11-2014,no,4045,"['Football', 'Jeux']",Communication,07-09-2013_13:44:35,960.5
Mehdi,70,29-07-2018,no,1167,"['Parachutisme', 'Football']",Leadership,20-12-2014_16:27:16,683.44
Karmen,86,04-06-2020,no,4225,"['Randonnée', 'Football']",Cooking,19-03-2017_01:32:13,821.42
Emilia,97,15-07-2009,yes,6127,"['Football', 'Randonnée']",Cooking,31-10-2015_20:57:31,960.92
Karmen,32,07-10-2002,yes,4985,"['Randonnée', 'Parachutisme']",Cooking,27-11-2015_07:54:59,88.94
John,21,31-03-2005,no,846,"['Parachutisme', 'Randonnée']",Cooking,14-04-2018_02:14:05,691.54
Karmen,43,16-03-2016,no,3607,"['Parachutisme', 'Football']",Cooking,12-06-2014_05:20:46,713.22
Emilia,60,28-04-2012,yes,6853,"['Jeux', 'Football']",Cooking,06-05-2021_02:23:33,448.5
Emilia,33,15-11-2007,yes,398,"['Jeux', 'Randonnée']",Leadership,25-01-2022_16:28:58,447.26
Emilia,93,17-01-2006,yes,8198,"['Jeux', 'Randonnée']",Leadership,16-02-2013_00:20:38,311.84
David,80,25-06-2008,yes,1921,"['Jeux', 'Randonnée']",Leadership,18-07-2015_03:28:52,297.4
Mehdi,87,27-03-2010,no,3533,"['Randonnée', 'Jeux']",Leadership,10-03-2013_08:49:06,404.64
David,95,09-06-2016,no,7436,"['Parachutisme', 'Randonnée']",Communication,15-11-2018_10:25:00,4.62
Emilia,92,28-12-2010,no,2844,"['Parachutisme', 'Jeux']",Leadership,03-11-2013_10:46:26,887.18
John,100,20-02-2013,no,949,"['Football', 'Jeux']",Communication,13-02-2017_07:15:33,916.24
John,29,12-04-2009,yes,1757,"['Parachutisme', 'Jeux']",Leadership,10-01-2016_13:46:18,664.7
Karmen,36,20-10-2010,no,5279,"['Jeux', 'Football']",Communication,28-01-2022_21:23:18,822.64
Emilia,33,04-01-2002,no,2577,"['Randonnée', 'Football']",Cooking,05-01-2016_13:18:58,612.05
Mehdi,95,30-08-2012,yes,1429,"['Football', 'Jeux']",Cooking,12-03-2020_05:07:56,526.4
Karmen,78,30-10-2020,yes,1879,"['Parachutisme', 'Football']",Cooking,05-08-2016_12:23:18,611.58
David,82,17-08-2011,yes,8422,"['Parachutisme', 'Football']",Cooking,22-05-2013_20:39:35,895.39
Karmen,66,21-02-2015,no,5967,"['Football', 'Jeux']",Cooking,18-12-2014_23:11:08,154.51
Mehdi,42,02-03-2019,yes,1019,"['Parachutisme', 'Jeux']",Leadership,10-01-2015_14:45:39,931.58
Emilia,22,06-04-2004,no,8745,"['Randonnée', 'Jeux']",Cooking,26-05-2020_08:14:46,691.02
Emilia,47,05-05-2003,yes,8131,"['Parachutisme', 'Jeux']",Leadership,12-03-2022_15:44:30,507.78
David,49,22-08-2017,yes,3686,"['Randonnée', 'Football']",Cooking,10-07-2020_23:43:55,46.52
Mehdi,51,27-10-2009,yes,6909,"['Jeux', 'Football']",Leadership,15-06-2022_15:48:49,706.94
David,53,10-06-2006,yes,7381,"['Football', 'Jeux']",Communication,23-03-2021_02:27:59,704.34
Mehdi,47,31-03-2012,no,5355,"['Randonnée', 'Football']",Cooking,24-11-2021_13:51:08,918.16
David,35,08-06-2019,no,5652,"['Randonnée', 'Football']",Leadership,17-09-2019_03:27:00,831.73
Karmen,54,16-12-2002,no,9713,"['Randonnée', 'Parachutisme']",Cooking,08-02-2013_06:34:06,94.87
Emilia,35,10-09-2014,yes,5024,"['Jeux', 'Parachutisme']",Communication,01-06-2022_14:35:13,865.93
David,94,16-05-2010,no,186,"['Randonnée', 'Football']",Leadership,17-12-2019_00:22:52,229.58
Emilia,96,16-08-2009,yes,1706,"['Parachutisme', 'Randonnée']",Leadership,26-03-2018_19:28:02,239.35
Emilia,42,10-04-2004,yes,8252,"['Football', 'Jeux']",Leadership,14-03-2022_03:43:04,626.16
David,71,16-09-2005,yes,2982,"['Football', 'Jeux']",Communication,13-07-2013_02:43:50,18.31
Karmen,52,01-02-2020,yes,4895,"['Randonnée', 'Football']",Leadership,03-08-2018_05:41:00,498.13
David,70,15-12-2013,yes,2188,"['Randonnée', 'Jeux']",Leadership,25-12-2013_22:39:45,481.27
Karmen,58,06-10-2002,no,9117,"['Football', 'Jeux']",Communication,09-04-2013_08:46:16,189.83
David,95,05-05-2004,yes,5717,"['Randonnée', 'Jeux']",Leadership,15-05-2021_09:35:23,709.14
Emilia,27,26-01-2004,yes,7413,"['Parachutisme', 'Randonnée']",Leadership,22-05-2013_00:41:15,175.34
Mehdi,80,23-09-2006,yes,7244,"['Parachutisme', 'Football']",Communication,13-08-2020_10:45:14,108.55
Mehdi,42,25-01-2005,yes,9241,"['Jeux', 'Randonnée']",Cooking,21-03-2017_19:45:54,294.06
David,19,24-06-2015,no,2321,"['Randonnée', 'Parachutisme']",Communication,12-08-2016_21:42:53,726.07
Mehdi,53,24-12-2018,no,1571,"['Parachutisme', 'Jeux']",Communication,14-03-2018_09:39:44,26.22
John,58,10-03-2007,yes,4547,"['Parachutisme', 'Football']",Leadership,09-04-2018_01:13:59,125.23
Karmen,71,22-02-2012,yes,2682,"['Football', 'Jeux']",Communication,13-04-2013_08:06:15,583.42
Emilia,40,03-08-2015,no,585,"['Jeux', 'Randonnée']",Communication,29-04-2017_03:39:05,658.81
Karmen,51,28-05-2020,no,4716,"['Jeux', 'Randonnée']",Cooking,31-03-2016_13:03:23,393.59
Mehdi,100,05-11-2005,no,1761,"['Football', 'Parachutisme']",Communication,01-12-2021_14:46:47,806.63
David,96,19-08-2003,yes,8594,"['Football', 'Randonnée']",Cooking,19-06-2022_20:56:40,199.29
Emilia,63,01-12-2007,yes,3424,"['Football', 'Parachutisme']",Leadership,22-01-2020_06:36:33,941.76
John,59,30-06-2002,yes,3392,"['Parachutisme', 'Football']",Communication,03-11-2020_16:05:00,147.19
David,56,12-03-2016,no,9875,"['Football', 'Randonnée']",Communication,13-03-2013_06:38:29,253.02
Emilia,62,24-09-2017,no,4900,"['Football', 'Randonnée']",Communication,25-06-2015_08:00:56,104.37
Emilia,65,28-12-2020,no,4612,"['Football', 'Parachutisme']",Communication,01-02-2015_03:09:57,183.9
David,74,14-09-2010,no,9917,"['Randonnée', 'Jeux']",Leadership,04-01-2017_20:12:02,61.86
David,70,01-11-2016,no,4831,"['Randonnée', 'Parachutisme']",Leadership,15-08-2021_23:32:27,490.58
David,33,07-03-2014,yes,7917,"['Jeux', 'Randonnée']",Cooking,21-06-2022_00:05:59,160.34
David,56,15-06-2005,yes,1957,"['Randonnée', 'Jeux']",Communication,18-09-2020_17:02:10,664.09
Emilia,37,02-02-2009,no,3715,"['Randonnée', 'Parachutisme']",Leadership,15-01-2018_07:56:52,74.85
Mehdi,31,07-11-2015,no,6180,"['Parachutisme', 'Football']",Communication,09-02-2015_22:03:48,83.69
Mehdi,40,23-11-2018,yes,8259,"['Football', 'Jeux']",Cooking,20-07-2015_09:29:55,829.31
Emilia,46,22-06-2005,yes,8411,"['Randonnée', 'Parachutisme']",Cooking,17-01-2018_15:38:22,499.11
Emilia,89,06-11-2010,yes,1808,"['Parachutisme', 'Jeux']",Communication,09-09-2021_07:59:54,459.17
